Magnitude,Location,Latitude,Longitude,Depth (km),Date,EventId,Event URL
2.9,"6km S of Houston, Alaska",61.5739,-149.8181,43,22-09-2012 07:14,ak10563595,http://earthquake.usgs.gov/earthquakes/eventpage/ak10563595
3.3,"135km NNE of Road Town, British Virgin Islands",19.6135,-64.3517,69,22-09-2012 07:03,pr12266005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12266005
5.6,"101km NE of `Ohonua, Tonga",-20.8103,-174.1487,10.51,22-09-2012 06:58,usc000ctx8,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctx8
3.2,"140km NNE of Road Town, British Virgin Islands",19.6347,-64.255,69,22-09-2012 06:44,pr12266003,http://earthquake.usgs.gov/earthquakes/eventpage/pr12266003
4.9,"16km NE of Exochi, Greece",40.1993,20.8889,9.75,22-09-2012 06:15,usc000ctwx,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctwx
3.4,"111km NNE of Road Town, British Virgin Islands",19.3442,-64.211,87,22-09-2012 06:09,pr12266004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12266004
2.8,"31km N of Larsen Bay, Alaska",57.8248,-153.9892,41.5,22-09-2012 06:01,ak10563570,http://earthquake.usgs.gov/earthquakes/eventpage/ak10563570
3.9,"130km N of Road Town, British Virgin Islands",19.5533,-64.4636,5.8,22-09-2012 05:31,pr12266002,http://earthquake.usgs.gov/earthquakes/eventpage/pr12266002
4.5,"63km NE of Calama, Chile",-22.0222,-68.5497,113.84,22-09-2012 04:18,usc000ctvi,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctvi
5.1,"6km SSE of Kiriakion, Greece",38.3002,22.8118,10.02,22-09-2012 03:52,usc000ctvc,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctvc
4.3,"38km SW of Karpathos, Greece",35.2251,26.9721,10.08,22-09-2012 03:51,usc000ctve,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctve
2.5,"19km SW of Ferndale, California",40.4688,-124.4462,24.5,22-09-2012 03:13,nc71845805,http://earthquake.usgs.gov/earthquakes/eventpage/nc71845805
3.5,"18km SW of Ferndale, California",40.4655,-124.4313,23.7,22-09-2012 02:55,nc71845790,http://earthquake.usgs.gov/earthquakes/eventpage/nc71845790
2.8,"61km S of Deltana, Alaska",63.3274,-145.3493,0.1,22-09-2012 02:48,ak10563523,http://earthquake.usgs.gov/earthquakes/eventpage/ak10563523
2.6,"11km WSW of Progreso, Mexico",32.5327,-115.6977,8.2,22-09-2012 02:31,ci15219297,http://earthquake.usgs.gov/earthquakes/eventpage/ci15219297
3.1,"75km NNE of Road Town, British Virgin Islands",19.0235,-64.288,58,22-09-2012 02:18,pr12266001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12266001
4.6,Central East Pacific Rise,-9.5408,-108.6643,9.99,22-09-2012 01:39,usc000ctu3,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctu3
2.8,"69km NNE of Road Town, British Virgin Islands",18.9559,-64.2815,61,22-09-2012 01:21,pr12266000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12266000
3.1,"76km NNE of Road Town, British Virgin Islands",19.0365,-64.2882,42,21-09-2012 23:07,pr12265011,http://earthquake.usgs.gov/earthquakes/eventpage/pr12265011
4.2,"50km WNW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",36.2616,70.2867,113.07,21-09-2012 22:59,usc000ctta,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctta
3.2,"23km NE of Punta Cana, Dominican Republic",18.7056,-68.2242,27,21-09-2012 20:44,pr12265010,http://earthquake.usgs.gov/earthquakes/eventpage/pr12265010
4.6,"132km ESE of Iwaki, Japan",36.7845,142.3329,24.72,21-09-2012 19:36,usc000ctk4,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctk4
3.1,"124km NNE of Road Town, British Virgin Islands",19.4575,-64.1651,72,21-09-2012 17:24,pr12265009,http://earthquake.usgs.gov/earthquakes/eventpage/pr12265009
4.6,"29km SW of Ashkasham, Afghanistan",36.526,71.2734,90.23,21-09-2012 17:19,usc000ctez,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctez
2.6,"62km S of Larsen Bay, Alaska",56.9835,-154.1211,19.3,21-09-2012 15:56,ak10563303,http://earthquake.usgs.gov/earthquakes/eventpage/ak10563303
4.6,"78km W of Platanos, Greece",35.5199,22.7343,46.13,21-09-2012 15:39,usc000ctbb,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ctbb
3.2,"155km NNE of Road Town, British Virgin Islands",19.739,-64.1214,30,21-09-2012 12:22,pr12265007,http://earthquake.usgs.gov/earthquakes/eventpage/pr12265007
5.4,"121km ENE of Iquique, Chile",-19.6536,-69.1492,98.78,21-09-2012 12:17,usc000ct7f,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct7f
4.9,"155km SW of Dadali, Solomon Islands",-8.9788,157.9785,35.06,21-09-2012 11:59,usc000ct73,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct73
4.3,"125km S of Puerto El Triunfo, El Salvador",12.1667,-88.7426,35.18,21-09-2012 11:12,usc000ct6d,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct6d
2.8,"4km W of La Parguera, Puerto Rico",17.974,-67.0856,6,21-09-2012 10:39,pr12265004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12265004
4.5,"140km NE of Arzak, China",40.4586,77.4213,29.57,21-09-2012 10:09,usc000ct5p,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct5p
4.4,"79km W of Mendoza, Argentina",-32.9653,-69.6777,100.91,21-09-2012 09:22,usc000ct54,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct54
5,"85km WSW of Platanos, Greece",35.3003,22.6787,15.09,21-09-2012 08:47,usa000f694,http://earthquake.usgs.gov/earthquakes/eventpage/usa000f694
3.3,"143km NNE of Road Town, British Virgin Islands",19.648,-64.2025,60,21-09-2012 08:28,pr12265002,http://earthquake.usgs.gov/earthquakes/eventpage/pr12265002
3.4,"131km NNE of Road Town, British Virgin Islands",19.4988,-64.1091,75,21-09-2012 08:11,pr12265001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12265001
4.1,"4km SSW of Santa Cruz, Costa Rica",10.2252,-85.5939,25.7,21-09-2012 06:37,usa000f68h,http://earthquake.usgs.gov/earthquakes/eventpage/usa000f68h
3,"118km NNE of Chignik Lake, Alaska",57.1966,-157.8482,2.7,21-09-2012 05:08,ak10563148,http://earthquake.usgs.gov/earthquakes/eventpage/ak10563148
4.8,"1km E of San Isidro, Philippines",9.9388,126.0986,35.33,21-09-2012 05:01,usc000ct3g,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct3g
3.1,"148km SE of Chirikof Island, Alaska",54.7159,-154.3148,12.4,21-09-2012 04:53,ak10563146,http://earthquake.usgs.gov/earthquakes/eventpage/ak10563146
2.7,"46km SSE of Cantwell, Alaska",63.0366,-148.4692,76.5,21-09-2012 04:36,ak10563136,http://earthquake.usgs.gov/earthquakes/eventpage/ak10563136
4.6,"108km SW of Birjand, Iran",32.0995,58.4993,25.9,21-09-2012 03:28,usc000ct2t,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct2t
4.7,South of the Fiji Islands,-25.6459,178.4681,572.03,21-09-2012 03:25,usc000ct2v,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct2v
2.8,"12km NNE of Houston, Alaska",61.7354,-149.7176,37,21-09-2012 03:16,ak10563117,http://earthquake.usgs.gov/earthquakes/eventpage/ak10563117
3.2,"91km N of San Juan, Puerto Rico",19.2919,-66.1593,73,21-09-2012 02:18,pr12265000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12265000
4.5,"248km S of Sidorukun, Indonesia",-10.8365,113.9847,8.78,21-09-2012 02:14,usc000ct1x,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct1x
4.3,"11km N of Nanganumba, Indonesia",-8.3641,121.2274,31.53,21-09-2012 00:30,usc000ct0z,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct0z
4.3,"13km ESE of Ayabe, Japan",35.2485,135.3884,370.42,21-09-2012 00:03,usc000ct0n,http://earthquake.usgs.gov/earthquakes/eventpage/usc000ct0n
2.6,"35km ENE of Tanaga Volcano, Alaska",51.9491,-177.6313,9.8,20-09-2012 22:42,ak10562910,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562910
2.8,"95km SSW of Semisopochnoi Island, Alaska",51.1215,179.2446,23.6,20-09-2012 22:17,ak10562901,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562901
5.4,"48km SSE of Pondaguitan, Philippines",5.9775,126.3832,111.16,20-09-2012 21:21,usc000csx3,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csx3
5.7,"35km ESE of Ndoi Island, Fiji",-20.753,-178.3725,544.19,20-09-2012 21:03,usc000csw5,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csw5
3.8,"43km NNE of Talkeetna, Alaska",62.6916,-149.8072,10.1,20-09-2012 20:47,ak10562838,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562838
3.4,"46km ESE of Yunaska Island, Alaska",52.4716,-170.0567,127.2,20-09-2012 20:01,ak10562822,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562822
4.9,"41km WSW of Kimbe, Papua New Guinea",-5.7346,149.8211,120.46,20-09-2012 17:44,usc000csng,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csng
2.9,"65km N of Road Town, British Virgin Islands",19.0055,-64.5569,65,20-09-2012 17:21,pr12264008,http://earthquake.usgs.gov/earthquakes/eventpage/pr12264008
3.4,"136km N of Road Town, British Virgin Islands",19.6334,-64.4336,17,20-09-2012 17:15,pr12264007,http://earthquake.usgs.gov/earthquakes/eventpage/pr12264007
4.3,"24km NE of Jesus Carranza, Mexico",17.5693,-94.854,114.12,20-09-2012 16:58,usc000csm3,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csm3
4.9,"121km NE of San Isidro, Philippines",10.6573,126.9779,35.04,20-09-2012 16:32,usc000cslr,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cslr
5,"140km WNW of Tobelo, Indonesia",2.178,126.8298,83.33,20-09-2012 15:52,usc000csku,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csku
4.7,"37km NNE of San Isidro, Philippines",10.3317,126.2051,46.55,20-09-2012 12:42,usc000csim,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csim
2.5,"22km NNW of Borrego Springs, California",33.4523,-116.4413,2.3,20-09-2012 12:13,ci15218617,http://earthquake.usgs.gov/earthquakes/eventpage/ci15218617
2.5,"17km NNE of Road Town, British Virgin Islands",18.5573,-64.5353,1,20-09-2012 11:42,pr12264005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12264005
4.7,"88km WNW of Santa Cruz, Chile",-34.2707,-72.2261,17.48,20-09-2012 10:07,usc000csgn,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csgn
4.1,"11km SSE of La Gomera, Guatemala",13.9813,-91.0174,71.28,20-09-2012 09:29,usc000csg1,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csg1
3.3,"111km NNE of Road Town, British Virgin Islands",19.271,-64.0475,94,20-09-2012 08:44,pr12264004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12264004
2.6,"77km WSW of Ferndale, California",40.3782,-125.1463,0,20-09-2012 08:40,nc71844990,http://earthquake.usgs.gov/earthquakes/eventpage/nc71844990
2.5,"69km S of Larsen Bay, Alaska",56.9121,-154.0037,46.1,20-09-2012 07:57,ak10562573,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562573
3.4,"70km S of Larsen Bay, Alaska",56.9089,-154.0954,43.4,20-09-2012 07:31,ak10562557,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562557
3.4,"120km NNE of Road Town, British Virgin Islands",19.4274,-64.198,87,20-09-2012 07:15,pr12264003,http://earthquake.usgs.gov/earthquakes/eventpage/pr12264003
4.8,Reykjanes Ridge,52.5855,-32.0426,9.84,20-09-2012 06:23,usc000cse9,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cse9
4.9,"37km SSE of Abancay, Peru",-13.9269,-72.6994,66.47,20-09-2012 06:08,usc000cse5,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cse5
5.2,"118km NW of Havelu, Tonga",-20.537,-176.1546,209.59,20-09-2012 05:40,usc000csdu,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csdu
3,"148km NNE of Road Town, British Virgin Islands",19.7005,-64.2034,25,20-09-2012 05:39,pr12264001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12264001
2.7,"27km SSW of Esperanza, Puerto Rico",17.854,-65.536,16,20-09-2012 05:37,pr12264000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12264000
4.7,"73km N of We, New Caledonia",-20.2594,167.1901,31.87,20-09-2012 03:32,usc000csd3,http://earthquake.usgs.gov/earthquakes/eventpage/usc000csd3
2.5,"37km W of Fort Irwin, California",35.301,-117.0937,20.1,20-09-2012 01:52,ci15218505,http://earthquake.usgs.gov/earthquakes/eventpage/ci15218505
4.3,"32km S of Acajutla, El Salvador",13.2962,-89.8068,77.39,20-09-2012 01:51,usc000cscx,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cscx
4.5,Off the west coast of northern Sumatra,0.0689,92.07,10.21,20-09-2012 00:20,usa000f5rb,http://earthquake.usgs.gov/earthquakes/eventpage/usa000f5rb
2.7,"40km NW of San Antonio, Puerto Rico",18.7399,-67.3862,12,19-09-2012 23:51,pr12263005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12263005
4.5,"181km N of Tobelo, Indonesia",3.3453,128.3019,121.32,19-09-2012 21:30,usa000f5pb,http://earthquake.usgs.gov/earthquakes/eventpage/usa000f5pb
4.7,"155km SE of Sarangani, Philippines",4.6207,126.6319,97.91,19-09-2012 21:18,usc000cs8s,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cs8s
2.7,"75km SE of Nikolski, Alaska",52.4841,-168.0392,25.4,19-09-2012 20:16,ak10562275,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562275
2.6,"62km WSW of Talkeetna, Alaska",62.0237,-151.1335,83.1,19-09-2012 18:34,ak10562172,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562172
2.8,"61km W of Anchor Point, Alaska",59.6741,-152.9131,96.5,19-09-2012 17:07,ak10562116,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562116
3.2,"24km NW of Circle Hot Springs Station, Alaska",65.6433,-145.0007,9.1,19-09-2012 15:02,ak10562077,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562077
4.4,"20km SSE of Popnam, Indonesia",-9.81,124.5695,35.29,19-09-2012 10:45,usc000cruv,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cruv
2.6,"23km WNW of Redoubt Volcano, Alaska",60.5527,-153.139,139.2,19-09-2012 10:00,ak10562046,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562046
4.9,"27km SE of Turkoglu, Turkey",37.2352,37.0982,10.02,19-09-2012 09:17,usc000crtt,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crtt
2.6,"45km NW of Cape Yakataga, Alaska",60.3022,-143.0997,3.3,19-09-2012 08:33,ak10562025,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562025
2.5,"68km S of Larsen Bay, Alaska",56.9311,-154.0841,41.1,19-09-2012 08:23,ak10562953,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562953
4.5,"11km NNE of Siglufjordur, Iceland",66.2473,-18.7853,10.3,19-09-2012 07:57,usc000crt2,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crt2
3.3,"58km NE of Road Town, British Virgin Islands",18.7924,-64.222,41,19-09-2012 07:39,pr12263003,http://earthquake.usgs.gov/earthquakes/eventpage/pr12263003
4.5,"252km S of Sidorukun, Indonesia",-10.8636,113.8905,37.82,19-09-2012 07:31,usc000crsk,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crsk
4.6,"86km E of Raoul Island, New Zealand",-29.381,-177.0169,59.45,19-09-2012 06:44,usc000crry,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crry
2.8,"63km NNW of San Antonio, Puerto Rico",19.0294,-67.2987,9,19-09-2012 06:26,pr12263002,http://earthquake.usgs.gov/earthquakes/eventpage/pr12263002
3.6,"156km NNW of The Valley, Anguilla",19.5606,-63.5117,37,19-09-2012 05:44,pr12263001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12263001
2.5,"27km SSW of China Lake Acres, California",35.3975,-117.8235,7.3,19-09-2012 04:57,ci15218041,http://earthquake.usgs.gov/earthquakes/eventpage/ci15218041
2.9,"12km SSE of Volcano, Hawaii",19.319,-155.2127,8.8,19-09-2012 04:35,hv60401421,http://earthquake.usgs.gov/earthquakes/eventpage/hv60401421
3.2,"132km N of Road Town, British Virgin Islands",19.5988,-64.4186,43,19-09-2012 04:34,pr12263000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12263000
4.1,"32km SSW of Puerto El Triunfo, El Salvador",13.0084,-88.6603,70.73,19-09-2012 04:27,usc000crqx,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crqx
3.5,"29km SW of Homer, Alaska",59.4491,-151.912,63.9,19-09-2012 02:07,ak10561932,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561932
4.7,"111km ESE of Madang, Papua New Guinea",-5.6575,146.707,36.12,19-09-2012 01:57,usc000crqf,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crqf
2.5,"194km SW of Amatignak Island, Alaska",50.1707,178.7345,26.3,19-09-2012 00:39,ak10562941,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562941
4.7,"77km N of Ternate, Indonesia",1.5011,127.3285,116.48,19-09-2012 00:32,usc000crqb,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crqb
4.5,"79km SSW of Isangel, Vanuatu",-20.1802,168.9119,48.47,19-09-2012 00:15,usc000crq7,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crq7
2.8,"54km N of Hatillo, Puerto Rico",18.9748,-66.8369,11,18-09-2012 21:15,pr12262014,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262014
3,"5km S of Idyllwild-Pine Cove, California",33.6938,-116.7375,20.3,18-09-2012 21:09,ci15217865,http://earthquake.usgs.gov/earthquakes/eventpage/ci15217865
3,"170km WNW of Port Orford, Oregon",43.0846,-126.5326,10.45,18-09-2012 19:57,usc000crda,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crda
2.5,"13km WNW of Progreso, Mexico",32.6415,-115.7028,8.4,18-09-2012 19:34,ci15217817,http://earthquake.usgs.gov/earthquakes/eventpage/ci15217817
3,"61km WSW of Anchor Point, Alaska",59.2709,-153.3279,93.1,18-09-2012 19:22,ak10561662,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561662
4.5,"10km SSW of Samara, Costa Rica",9.792,-85.561,44.16,18-09-2012 19:10,usc000crbn,http://earthquake.usgs.gov/earthquakes/eventpage/usc000crbn
2.9,"60km SW of Larsen Bay, Alaska",57.2005,-154.8056,40.6,18-09-2012 18:54,ak10561644,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561644
2.8,"64km N of Road Town, British Virgin Islands",18.9899,-64.5162,8,18-09-2012 17:52,pr12262013,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262013
2.8,"143km NNE of Road Town, British Virgin Islands",19.659,-64.236,7,18-09-2012 17:40,pr12262012,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262012
4.7,"49km S of Binuangeun, Indonesia",-7.28,105.8857,44.6,18-09-2012 16:35,us2012fras,http://earthquake.usgs.gov/earthquakes/eventpage/us2012fras
2.6,"85km S of False Pass, Alaska",54.0936,-163.611,147,18-09-2012 16:06,ak10562402,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562402
4.7,Off the west coast of northern Sumatra,3.7756,92.6495,10.4,18-09-2012 15:59,us2012frar,http://earthquake.usgs.gov/earthquakes/eventpage/us2012frar
3.1,"114km S of Point Hope, Alaska",67.3255,-166.8751,23.6,18-09-2012 15:31,ak10562401,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562401
2.9,"69km NNE of Arecibo, Puerto Rico",19.0909,-66.5822,54,18-09-2012 14:59,pr12262009,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262009
2.7,"28km ESE of Semisopochnoi Island, Alaska",51.898,-179.9874,159.1,18-09-2012 14:46,ak10562399,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562399
2.8,"73km NNW of Charlotte Amalie, U.S. Virgin Islands",18.9755,-65.1491,42,18-09-2012 14:34,pr12262010,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262010
3,"76km N of Culebra, Puerto Rico",18.993,-65.2205,17,18-09-2012 14:32,pr12262011,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262011
2.6,"61km S of Larsen Bay, Alaska",56.9924,-154.1272,9.1,18-09-2012 12:32,ak10561372,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561372
3.3,"117km NNW of Shishmaref, Alaska",67.2678,-166.8237,24.4,18-09-2012 11:51,ak10562394,http://earthquake.usgs.gov/earthquakes/eventpage/ak10562394
2.9,"22km SSE of Pahala, Hawaii",19.0077,-155.421,44.4,18-09-2012 10:48,hv60400351,http://earthquake.usgs.gov/earthquakes/eventpage/hv60400351
3.2,"67km N of Isabela, Puerto Rico",19.0948,-66.9,55,18-09-2012 10:25,pr12262007,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262007
4.9,"24km NE of We, New Caledonia",-20.7399,167.4055,34.99,18-09-2012 10:15,usc000cr2p,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr2p
2.7,"18km SE of Emajagua, Puerto Rico",17.899,-65.74,13,18-09-2012 09:42,pr12262006,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262006
4.3,"14km SW of Samara, Costa Rica",9.8014,-85.6349,17.24,18-09-2012 09:10,usc000cr1d,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr1d
4.2,"20km SSW of Samara, Costa Rica",9.7264,-85.6216,14.44,18-09-2012 09:03,usc000cr1a,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr1a
4.5,"135km SW of Puerto El Triunfo, El Salvador",12.2677,-89.2503,35.42,18-09-2012 08:20,usc000cr0z,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr0z
5.1,"143km SE of Sarangani, Philippines",4.4809,126.38,28.08,18-09-2012 08:05,usc000cr0u,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr0u
2.5,"31km SW of Gold Beach, Oregon",42.2338,-124.7195,35.9,18-09-2012 07:08,uw60453102,http://earthquake.usgs.gov/earthquakes/eventpage/uw60453102
4.8,"241km S of Sidorukun, Indonesia",-10.7708,114.0331,39.33,18-09-2012 06:42,usc000cr0h,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cr0h
3,"67km N of San Juan, Puerto Rico",19.076,-66.146,50,18-09-2012 06:33,pr12262005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262005
3.4,"41km SE of Punta Cana, Dominican Republic",18.3581,-68.0887,109,18-09-2012 05:20,pr12262004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262004
3,"156km NNE of Road Town, British Virgin Islands",19.7826,-64.2344,38,18-09-2012 04:30,pr12262001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12262001
2.6,"65km S of Larsen Bay, Alaska",56.9548,-154.1349,30.1,18-09-2012 04:14,ak10561291,http://earthquake.usgs.gov/earthquakes/eventpage/ak10561291
4.7,"58km SW of Zonda, Argentina",-31.8963,-69.2027,64.59,18-09-2012 03:53,usc000cqzs,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqzs
4.8,"105km E of Raoul Island, New Zealand",-29.2155,-176.8201,58.12,18-09-2012 03:51,usc000cqzz,http://earthquake.usgs.gov/earthquakes/eventpage/usc000cqzz
